CombinedSpineCont... started logging at time 03012018_174252 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
7.575,0.00614021,-0.694445,1.4984,-0.0740088,-0.679575,1.4984,0.0762573,0.0394229,1.49849,-0.0716699,0.026792,1.49849,0.0788009,
7.5851,0.00623376,-0.694451,1.4984,-0.0739992,-0.679568,1.4984,0.0762655,0.0394256,1.49849,-0.0716637,0.026784,1.49849,0.0788062,
7.5952,0.00632739,-0.694457,1.4984,-0.0739897,-0.679561,1.4984,0.0762737,0.0394283,1.49849,-0.0716575,0.026776,1.49849,0.0788115,
7.6053,0.00642104,-0.694463,1.4984,-0.0739801,-0.679553,1.4984,0.076282,0.039431,1.49849,-0.0716513,0.026768,1.49849,0.0788168,
7.6154,0.00651472,-0.694469,1.4984,-0.0739706,-0.679546,1.4984,0.0762902,0.0394336,1.49849,-0.0716451,0.0267601,1.49849,0.0788221,
7.6255,0.00660851,-0.694475,1.4984,-0.0739611,-0.679539,1.4984,0.0762984,0.0394363,1.49849,-0.0716389,0.0267521,1.49849,0.0788274,
7.6356,0.00670233,-0.694481,1.4984,-0.0739516,-0.679532,1.4984,0.0763065,0.0394389,1.49849,-0.0716327,0.0267442,1.49849,0.0788327,
7.6457,0.00679619,-0.694487,1.4984,-0.0739422,-0.679525,1.4984,0.0763147,0.0394416,1.49849,-0.0716265,0.0267363,1.49849,0.078838,
7.6558,0.00689016,-0.694493,1.4984,-0.0739327,-0.679517,1.4984,0.0763228,0.0394442,1.49849,-0.0716204,0.0267284,1.49849,0.0788433,
7.6659,0.00698417,-0.694499,1.4984,-0.0739233,-0.67951,1.4984,0.0763309,0.0394468,1.49849,-0.0716142,0.0267206,1.49849,0.0788485,
