CombinedSpineCont... started logging at time 09072018_171106 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
31.1585,0.304541,-0.671039,1.50014,-0.0791512,-0.641159,1.50014,0.0688629,0.0230853,1.50014,-0.0693529,-0.00527092,1.50014,0.0789607,
31.1686,0.304688,-0.67104,1.50014,-0.0791496,-0.64116,1.50014,0.0688645,0.0230856,1.50014,-0.0693482,-0.00527071,1.50014,0.0789654,
31.1787,0.304835,-0.67104,1.50014,-0.079148,-0.64116,1.50014,0.0688661,0.0230859,1.50014,-0.0693435,-0.00527049,1.50014,0.0789701,
31.1888,0.304982,-0.671041,1.50014,-0.0791464,-0.641161,1.50014,0.0688677,0.0230863,1.50014,-0.0693387,-0.00527026,1.50014,0.0789748,
31.1989,0.305129,-0.671042,1.50014,-0.0791447,-0.641162,1.50014,0.0688693,0.0230866,1.50014,-0.0693339,-0.00527003,1.50014,0.0789796,
31.209,0.305276,-0.671043,1.50014,-0.0791431,-0.641162,1.50014,0.068871,0.023087,1.50014,-0.0693291,-0.00526979,1.50014,0.0789844,
31.2191,0.305424,-0.671043,1.50014,-0.0791414,-0.641163,1.50014,0.0688727,0.0230873,1.50014,-0.0693242,-0.00526955,1.50014,0.0789893,
31.2292,0.305571,-0.671044,1.50014,-0.0791396,-0.641164,1.50014,0.0688744,0.0230877,1.50014,-0.0693193,-0.0052693,1.50014,0.0789942,
31.2393,0.305718,-0.671045,1.50014,-0.0791379,-0.641164,1.50014,0.0688761,0.0230881,1.50014,-0.0693144,-0.00526904,1.50014,0.0789991,
31.2494,0.305866,-0.671046,1.50014,-0.0791361,-0.641165,1.50014,0.0688779,0.0230884,1.50014,-0.0693094,-0.00526877,1.50014,0.079004,
31.2595,0.306013,-0.671046,1.50014,-0.0791342,-0.641166,1.50014,0.0688797,0.0230888,1.50014,-0.0693044,-0.0052685,1.50014,0.079009,
31.2696,0.306161,-0.671047,1.50014,-0.0791324,-0.641166,1.50014,0.0688816,0.0230892,1.50014,-0.0692993,-0.00526822,1.50014,0.0790141,
31.2797,0.306308,-0.671048,1.50014,-0.0791305,-0.641167,1.50014,0.0688834,0.0230896,1.50014,-0.0692942,-0.00526794,1.50014,0.0790191,
31.2898,0.306455,-0.671049,1.50014,-0.0791286,-0.641168,1.50014,0.0688853,0.02309,1.50014,-0.0692891,-0.00526764,1.50014,0.0790242,
31.2999,0.306602,-0.67105,1.50014,-0.0791267,-0.641169,1.50014,0.0688872,0.0230904,1.50014,-0.069284,-0.00526734,1.50014,0.0790293,
31.31,0.30675,-0.671051,1.50014,-0.0791247,-0.641169,1.50014,0.0688892,0.0230909,1.50014,-0.0692788,-0.00526704,1.50014,0.0790345,
31.3201,0.306897,-0.671052,1.50014,-0.0791227,-0.64117,1.50014,0.0688911,0.0230913,1.50014,-0.0692735,-0.00526672,1.50014,0.0790397,
31.3302,0.307045,-0.671053,1.50014,-0.0791207,-0.641171,1.50014,0.0688931,0.0230917,1.50014,-0.0692683,-0.0052664,1.50014,0.0790449,
31.3403,0.307192,-0.671053,1.50014,-0.0791187,-0.641172,1.50014,0.0688952,0.0230922,1.50014,-0.069263,-0.00526607,1.50014,0.0790502,
31.3504,0.30734,-0.671054,1.50014,-0.0791166,-0.641173,1.50014,0.0688972,0.0230927,1.50014,-0.0692577,-0.00526574,1.50015,0.0790555,
31.3605,0.307488,-0.671055,1.50014,-0.0791145,-0.641174,1.50014,0.0688993,0.0230931,1.50015,-0.0692523,-0.0052654,1.50015,0.0790608,
31.3706,0.307635,-0.671056,1.50014,-0.0791124,-0.641174,1.50014,0.0689014,0.0230936,1.50015,-0.0692469,-0.00526505,1.50015,0.0790662,
31.3807,0.307783,-0.671057,1.50014,-0.0791102,-0.641175,1.50014,0.0689035,0.0230941,1.50015,-0.0692415,-0.00526469,1.50015,0.0790716,
31.3908,0.307931,-0.671058,1.50014,-0.079108,-0.641176,1.50014,0.0689057,0.0230946,1.50015,-0.0692361,-0.00526433,1.50015,0.079077,
31.4009,0.308078,-0.671059,1.50014,-0.0791058,-0.641177,1.50014,0.0689079,0.0230951,1.50015,-0.0692306,-0.00526396,1.50015,0.0790825,
31.411,0.308226,-0.67106,1.50014,-0.0791036,-0.641178,1.50014,0.0689101,0.0230956,1.50015,-0.0692251,-0.00526358,1.50015,0.079088,
31.4211,0.308373,-0.671061,1.50014,-0.0791014,-0.641179,1.50014,0.0689123,0.0230961,1.50015,-0.0692195,-0.0052632,1.50015,0.0790935,
