CombinedSpineCont... started logging at time 09072018_121117 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
4.6662,0,-0.65887,1.50068,-0.0746985,-0.694042,1.50068,0.0721483,0.0130702,1.50074,-0.0742548,0.0430246,1.50074,0.0737444,
4.6763,0,-0.658876,1.50068,-0.0746892,-0.694069,1.50068,0.0721525,0.0130759,1.50074,-0.0742454,0.0430535,1.50074,0.073749,
4.6864,0,-0.658885,1.50068,-0.0746804,-0.694094,1.50068,0.0721573,0.0130856,1.50074,-0.0742339,0.0430801,1.50074,0.0737571,
4.6965,0,-0.658892,1.50068,-0.0746709,-0.69412,1.50068,0.0721625,0.0130947,1.50074,-0.0742228,0.0431065,1.50074,0.0737646,
4.7066,0,-0.658901,1.50068,-0.0746613,-0.694145,1.50068,0.0721682,0.0131055,1.50074,-0.0742123,0.0431339,1.50074,0.0737718,
4.7167,0,-0.658909,1.50068,-0.0746518,-0.69417,1.50068,0.0721733,0.0131141,1.50074,-0.0742039,0.0431608,1.50074,0.0737765,
4.7268,0,-0.658915,1.50069,-0.074645,-0.694196,1.50069,0.0721756,0.0131232,1.50074,-0.0741943,0.0431874,1.50074,0.0737826,
4.7369,0,-0.658924,1.50069,-0.0746377,-0.694222,1.50069,0.0721788,0.013133,1.50074,-0.0741886,0.0432136,1.50074,0.0737849,
4.747,0,-0.658934,1.50069,-0.0746399,-0.694245,1.50069,0.0721733,0.0131413,1.50074,-0.0741831,0.0432408,1.50074,0.0737865,
4.7571,0,-0.65895,1.50069,-0.074636,-0.694271,1.50069,0.072175,0.0131506,1.50074,-0.0741773,0.0432678,1.50074,0.0737888,
4.7672,0,-0.65898,1.50069,-0.074628,-0.694288,1.50069,0.0721859,0.0131605,1.50074,-0.0741706,0.043295,1.50074,0.073792,
4.7773,0,-0.659005,1.50069,-0.0746322,-0.69429,1.50069,0.0721873,0.0131739,1.50074,-0.0741664,0.0433211,1.50074,0.0737935,
4.7874,0,-0.659029,1.50069,-0.0746367,-0.694291,1.50069,0.0721884,0.013183,1.50074,-0.0741649,0.0433488,1.50074,0.0737912,
4.7975,0,-0.659054,1.50069,-0.0746411,-0.694293,1.50069,0.0721895,0.0131955,1.50074,-0.0741645,0.0433767,1.50074,0.0737885,
4.8076,0,-0.659079,1.50069,-0.0746455,-0.694295,1.50069,0.0721906,0.0132122,1.50074,-0.0741605,0.043402,1.50074,0.0737908,
4.8177,0,-0.659103,1.50069,-0.0746503,-0.694296,1.50069,0.0721914,0.0132437,1.50074,-0.0741534,0.0434159,1.50074,0.0738014,
4.8278,0,-0.659129,1.50069,-0.0746541,-0.694298,1.50069,0.0721932,0.0132753,1.50074,-0.0741539,0.0434309,1.50074,0.0738043,
4.8379,0,-0.659154,1.50069,-0.0746588,-0.694299,1.50069,0.0721942,0.0133053,1.50074,-0.0741504,0.043444,1.50074,0.0738113,
4.848,0,-0.659179,1.50069,-0.0746627,-0.6943,1.50069,0.0721963,0.0133396,1.50074,-0.0741478,0.0434623,1.50074,0.0738172,
4.8581,0,-0.659205,1.50069,-0.0746674,-0.694302,1.50069,0.0721972,0.0133687,1.50074,-0.0741453,0.0434739,1.50074,0.0738232,
4.8682,0,-0.659229,1.50069,-0.0746724,-0.694303,1.50069,0.0721978,0.0133995,1.50074,-0.0741398,0.0434849,1.50074,0.0738327,
4.8783,0,-0.659255,1.50069,-0.0746765,-0.694304,1.50069,0.0721996,0.0134312,1.50074,-0.0741349,0.0434973,1.50074,0.0738415,
4.8884,0,-0.659281,1.50069,-0.0746811,-0.694305,1.50069,0.0722007,0.0134602,1.50074,-0.0741264,0.0435012,1.50074,0.0738552,
4.8985,0,-0.659306,1.50069,-0.074686,-0.694307,1.50069,0.0722016,0.0134894,1.50074,-0.0741175,0.0435054,1.50074,0.0738691,
4.9086,0,-0.659331,1.50069,-0.0746901,-0.694308,1.50069,0.0722033,0.0135186,1.50074,-0.0741085,0.0435097,1.50074,0.0738831,
4.9187,0,-0.659357,1.50069,-0.0746947,-0.694309,1.50069,0.0722044,0.0135478,1.50074,-0.0740994,0.0435141,1.50074,0.0738973,
4.9288,0,-0.659382,1.50069,-0.0746993,-0.69431,1.50069,0.0722055,0.0135772,1.50074,-0.07409,0.0435188,1.50074,0.0739117,
4.9389,0,-0.659407,1.50069,-0.0747042,-0.694312,1.50069,0.0722061,0.0136065,1.50074,-0.0740805,0.0435236,1.50074,0.0739261,
4.949,0,-0.659431,1.50069,-0.0747095,-0.694314,1.50069,0.0722063,0.0136358,1.50074,-0.0740708,0.0435286,1.50074,0.0739407,
4.9591,0,-0.659456,1.50069,-0.0747151,-0.694315,1.50069,0.072206,0.0136651,1.50074,-0.074061,0.0435337,1.50074,0.0739554,
4.9692,0,-0.65948,1.50069,-0.0747205,-0.694317,1.50069,0.0722061,0.0136943,1.50074,-0.0740511,0.0435388,1.50074,0.0739702,
4.9793,0,-0.659505,1.50069,-0.0747263,-0.694318,1.50069,0.0722057,0.0137235,1.50074,-0.0740411,0.0435442,1.50074,0.073985,
4.9894,0,-0.65953,1.50069,-0.0747317,-0.69432,1.50069,0.0722059,0.0137527,1.50074,-0.0740308,0.0435497,1.50074,0.074,
4.9995,0,-0.659554,1.50069,-0.0747375,-0.694321,1.50069,0.0722057,0.0137819,1.50074,-0.0740205,0.0435553,1.50074,0.0740151,
5.0096,0,-0.659579,1.50069,-0.0747435,-0.694323,1.50069,0.072205,0.013811,1.50074,-0.0740099,0.0435612,1.50074,0.0740303,
5.0197,0,-0.659603,1.50069,-0.0747498,-0.694324,1.50069,0.0722042,0.01384,1.50074,-0.0739993,0.0435671,1.50074,0.0740456,
5.0298,0,-0.659628,1.50069,-0.0747553,-0.694325,1.50069,0.0722043,0.013869,1.50074,-0.0739886,0.0435731,1.50074,0.0740609,
5.0399,0,-0.659653,1.50069,-0.0747616,-0.694327,1.50069,0.0722034,0.0138979,1.50074,-0.0739778,0.0435792,1.50074,0.0740763,
5.05,0,-0.659677,1.50069,-0.0747678,-0.694328,1.50069,0.0722026,0.0139268,1.50074,-0.0739669,0.0435854,1.50074,0.0740917,
5.0601,0,-0.659701,1.50069,-0.0747745,-0.69433,1.50069,0.0722014,0.0139556,1.50074,-0.0739559,0.0435918,1.50074,0.0741073,
5.0702,0,-0.659726,1.50069,-0.0747812,-0.694331,1.50069,0.0722001,0.0139844,1.50074,-0.0739447,0.0435983,1.50074,0.0741229,
5.0803,0,-0.65975,1.50069,-0.0747878,-0.694332,1.50069,0.0721989,0.0140131,1.50074,-0.0739335,0.043605,1.50074,0.0741386,
5.0904,0,-0.659774,1.50069,-0.0747952,-0.694334,1.50069,0.0721967,0.0140418,1.50074,-0.073922,0.0436118,1.50074,0.0741544,
5.1005,0,-0.659799,1.50069,-0.0748019,-0.694335,1.50069,0.0721954,0.0140705,1.50074,-0.0739105,0.0436187,1.50074,0.0741702,
5.1106,0,-0.659822,1.50069,-0.0748093,-0.694337,1.50069,0.0721933,0.0140991,1.50074,-0.0738988,0.0436258,1.50074,0.0741862,
5.1207,0,-0.659846,1.50069,-0.0748169,-0.694338,1.50069,0.0721908,0.0141276,1.50074,-0.0738871,0.043633,1.50074,0.0742022,
5.1308,0,-0.65987,1.50069,-0.0748245,-0.69434,1.50069,0.0721885,0.0141561,1.50074,-0.0738752,0.0436404,1.50074,0.0742182,
5.1409,0,-0.659894,1.50069,-0.0748319,-0.694342,1.50069,0.0721862,0.0141845,1.50074,-0.0738633,0.0436478,1.50074,0.0742344,
5.151,0,-0.659918,1.50069,-0.0748392,-0.694343,1.50069,0.0721843,0.0142129,1.50074,-0.0738512,0.0436554,1.50074,0.0742506,
5.1611,0,-0.659941,1.50069,-0.0748472,-0.694345,1.50069,0.0721814,0.0142413,1.50074,-0.0738391,0.0436631,1.50074,0.0742668,
5.1712,0,-0.659965,1.50069,-0.0748551,-0.694346,1.50069,0.0721786,0.0142695,1.50074,-0.0738269,0.0436709,1.50074,0.0742831,
5.1813,0,-0.659989,1.50069,-0.0748629,-0.694348,1.50069,0.072176,0.0142978,1.50074,-0.0738145,0.0436789,1.50074,0.0742995,
5.1914,0,-0.660012,1.50069,-0.0748714,-0.69435,1.50069,0.0721725,0.014326,1.50074,-0.0738021,0.0436869,1.50074,0.0743159,
5.2015,0,-0.660035,1.50069,-0.0748797,-0.694352,1.50069,0.0721691,0.0143541,1.50075,-0.0737896,0.0436951,1.50075,0.0743324,
5.2116,0,-0.66006,1.50069,-0.0748873,-0.694353,1.50069,0.0721671,0.0143822,1.50075,-0.073777,0.0437034,1.50075,0.0743489,
5.2217,0,-0.660084,1.50069,-0.0748952,-0.694354,1.50069,0.0721644,0.0144102,1.50075,-0.0737643,0.0437118,1.50075,0.0743655,
5.2318,0,-0.660108,1.50069,-0.0749027,-0.694355,1.50069,0.0721624,0.0144382,1.50075,-0.0737515,0.0437204,1.50075,0.0743821,
5.2419,0,-0.660133,1.50069,-0.0749105,-0.694356,1.50069,0.0721602,0.0144662,1.50075,-0.0737386,0.043729,1.50075,0.0743988,
5.252,0,-0.660157,1.50069,-0.0749185,-0.694357,1.50069,0.0721577,0.0144941,1.50075,-0.0737256,0.0437378,1.50075,0.0744155,
5.2621,0,-0.660182,1.50069,-0.074927,-0.694358,1.50069,0.0721545,0.014522,1.50075,-0.0737126,0.0437467,1.50075,0.0744323,
5.2722,0,-0.660205,1.50069,-0.0749361,-0.694359,1.50069,0.0721507,0.0145498,1.50075,-0.0736995,0.0437557,1.50075,0.0744492,
5.2823,0,-0.660229,1.50069,-0.0749454,-0.69436,1.50069,0.0721464,0.0145776,1.50075,-0.0736863,0.0437649,1.50075,0.074466,
5.2924,0,-0.660252,1.50069,-0.0749552,-0.694362,1.50069,0.0721417,0.0146053,1.50075,-0.073673,0.0437741,1.50075,0.074483,
5.3025,0,-0.660274,1.50069,-0.0749652,-0.694364,1.50069,0.0721365,0.014633,1.50075,-0.0736596,0.0437835,1.50075,0.0745,
5.3126,0,-0.660297,1.50069,-0.0749754,-0.694366,1.50069,0.0721309,0.0146606,1.50075,-0.0736461,0.043793,1.50075,0.074517,
5.3227,0,-0.660319,1.50069,-0.0749859,-0.694368,1.50069,0.072125,0.0146882,1.50075,-0.0736326,0.0438026,1.50075,0.0745341,
5.3328,0,-0.660341,1.50069,-0.0749967,-0.694371,1.50069,0.0721188,0.0147158,1.50075,-0.073619,0.0438124,1.50075,0.0745512,
5.3429,0,-0.660362,1.50069,-0.0750076,-0.694373,1.50069,0.0721123,0.0147433,1.50075,-0.0736052,0.0438222,1.50075,0.0745684,
5.353,0,-0.660384,1.50069,-0.0750186,-0.694376,1.50069,0.0721055,0.0147708,1.50075,-0.0735915,0.0438323,1.50075,0.0745856,
5.3631,0,-0.660405,1.50069,-0.0750299,-0.694379,1.50069,0.0720985,0.0147982,1.50075,-0.0735776,0.0438424,1.50075,0.0746028,
5.3732,0,-0.660426,1.50069,-0.0750413,-0.694382,1.50069,0.0720912,0.0148256,1.50075,-0.0735636,0.0438526,1.50075,0.0746201,
5.3833,0,-0.660447,1.50069,-0.0750528,-0.694386,1.50069,0.0720837,0.0148529,1.50075,-0.0735496,0.043863,1.50075,0.0746375,
