CombinedSpineCont... started logging at time 03012018_173738 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
12.7462,0.0566122,-0.695692,1.49839,-0.0721571,-0.678972,1.49839,0.0779144,0.0400651,1.49851,-0.0697629,0.0239289,1.49851,0.0803724,
12.7563,0.0569208,-0.695692,1.49839,-0.0721584,-0.678972,1.49839,0.077913,0.0400654,1.49851,-0.0697611,0.0239251,1.49851,0.0803738,
12.7664,0.0571692,-0.695692,1.49839,-0.0721598,-0.678971,1.49839,0.0779115,0.0400657,1.49851,-0.0697592,0.0239207,1.49851,0.0803752,
12.7765,0.0572967,-0.695692,1.49839,-0.0721614,-0.678971,1.49839,0.07791,0.0400661,1.49851,-0.0697572,0.0239159,1.49851,0.0803767,
12.7866,0.057308,-0.695692,1.49839,-0.0721628,-0.678971,1.49839,0.0779086,0.0400664,1.49851,-0.0697552,0.023911,1.49851,0.0803781,
12.7967,0.0572738,-0.695691,1.49839,-0.072164,-0.67897,1.49839,0.0779074,0.0400667,1.49851,-0.0697533,0.0239064,1.49851,0.0803794,
12.8068,0.0572715,-0.695691,1.49839,-0.0721651,-0.67897,1.49839,0.0779062,0.040067,1.49851,-0.0697515,0.0239022,1.49851,0.0803808,
12.8169,0.0573667,-0.695691,1.49839,-0.0721662,-0.67897,1.49839,0.0779052,0.0400673,1.49851,-0.0697497,0.0238985,1.49851,0.0803821,
12.827,0.0575925,-0.695691,1.49839,-0.0721673,-0.67897,1.49839,0.077904,0.0400676,1.49851,-0.069748,0.0238951,1.49851,0.0803834,
12.8371,0.0578986,-0.695691,1.49839,-0.0721686,-0.678969,1.49839,0.0779027,0.0400679,1.49851,-0.0697462,0.0238915,1.49851,0.0803848,
12.8472,0.0581924,-0.695691,1.49839,-0.0721701,-0.678969,1.49839,0.0779011,0.0400682,1.49851,-0.0697444,0.0238874,1.49851,0.0803862,
12.8573,0.058396,-0.69569,1.49839,-0.0721718,-0.678969,1.49839,0.0778995,0.0400685,1.49851,-0.0697424,0.0238828,1.49851,0.0803876,
12.8674,0.0584709,-0.69569,1.49839,-0.0721734,-0.678968,1.49839,0.0778979,0.0400688,1.49851,-0.0697405,0.0238779,1.49851,0.080389,
12.8775,0.0584554,-0.69569,1.49839,-0.0721749,-0.678968,1.49839,0.0778964,0.0400691,1.49851,-0.0697386,0.0238731,1.49851,0.0803903,
12.8876,0.0584287,-0.69569,1.49839,-0.0721761,-0.678968,1.49839,0.0778951,0.0400694,1.49851,-0.0697367,0.0238687,1.49851,0.0803917,
12.8977,0.0584631,-0.69569,1.49839,-0.0721773,-0.678968,1.49839,0.0778939,0.0400697,1.49851,-0.069735,0.0238647,1.49851,0.080393,
12.9078,0.0586157,-0.695689,1.49839,-0.0721785,-0.678967,1.49839,0.0778927,0.04007,1.49851,-0.0697332,0.0238612,1.49851,0.0803943,
12.9179,0.0588876,-0.695689,1.49839,-0.0721799,-0.678967,1.49839,0.0778913,0.0400703,1.49851,-0.0697315,0.0238578,1.49851,0.0803956,
12.928,0.0592006,-0.695689,1.49839,-0.0721814,-0.678967,1.49839,0.0778898,0.0400706,1.49851,-0.0697297,0.023854,1.49851,0.0803969,
12.9381,0.0594658,-0.695689,1.49839,-0.0721831,-0.678966,1.49839,0.077888,0.0400709,1.49851,-0.0697279,0.0238496,1.49851,0.0803983,
12.9482,0.0596172,-0.695689,1.49839,-0.0721849,-0.678966,1.49839,0.0778863,0.0400712,1.49851,-0.069726,0.0238449,1.49851,0.0803997,
12.9583,0.0596472,-0.695688,1.49839,-0.0721866,-0.678966,1.49839,0.0778846,0.0400715,1.49851,-0.0697241,0.02384,1.49851,0.080401,
12.9684,0.0596199,-0.695688,1.49839,-0.0721881,-0.678965,1.49839,0.077883,0.0400718,1.49851,-0.0697222,0.0238353,1.49851,0.0804023,
12.9785,0.0596137,-0.695688,1.49839,-0.0721895,-0.678965,1.49839,0.0778817,0.0400721,1.49851,-0.0697204,0.0238311,1.49851,0.0804036,
12.9886,0.0596954,-0.695688,1.49839,-0.0721908,-0.678965,1.49839,0.0778804,0.0400724,1.49851,-0.0697187,0.0238273,1.49851,0.0804049,
12.9987,0.0599059,-0.695688,1.49839,-0.0721921,-0.678965,1.49839,0.077879,0.0400726,1.49851,-0.069717,0.0238238,1.49851,0.0804062,
13.0088,0.0602084,-0.695688,1.49839,-0.0721937,-0.678964,1.49839,0.0778774,0.0400729,1.49851,-0.0697153,0.0238203,1.49851,0.0804075,
13.0189,0.0605123,-0.695687,1.49839,-0.0721954,-0.678964,1.49839,0.0778757,0.0400732,1.49851,-0.0697135,0.0238163,1.49851,0.0804088,
13.029,0.0607366,-0.695687,1.49839,-0.0721973,-0.678964,1.49839,0.0778738,0.0400735,1.49851,-0.0697116,0.0238118,1.49851,0.0804102,
13.0391,0.060834,-0.695687,1.49839,-0.0721992,-0.678963,1.49839,0.0778719,0.0400738,1.49851,-0.0697097,0.0238069,1.49851,0.0804115,
13.0492,0.060832,-0.695687,1.49839,-0.0722009,-0.678963,1.49839,0.0778702,0.0400741,1.49851,-0.0697079,0.0238021,1.49851,0.0804128,
13.0593,0.0608073,-0.695687,1.49839,-0.0722025,-0.678963,1.49839,0.0778686,0.0400744,1.49851,-0.0697061,0.0237975,1.49851,0.0804141,
13.0694,0.0608336,-0.695686,1.49839,-0.0722039,-0.678962,1.49839,0.0778671,0.0400747,1.49851,-0.0697043,0.0237935,1.49851,0.0804154,
13.0795,0.0609709,-0.695686,1.49839,-0.0722053,-0.678962,1.49839,0.0778657,0.0400749,1.49851,-0.0697027,0.0237899,1.49851,0.0804166,
13.0896,0.0612322,-0.695686,1.49839,-0.0722069,-0.678962,1.49839,0.0778641,0.0400752,1.49851,-0.069701,0.0237865,1.49851,0.0804179,
13.0997,0.061548,-0.695686,1.49839,-0.0722086,-0.678962,1.49839,0.0778624,0.0400754,1.49851,-0.0696993,0.0237827,1.49851,0.0804192,
13.1098,0.0618281,-0.695686,1.49839,-0.0722106,-0.678961,1.49839,0.0778604,0.0400757,1.49851,-0.0696975,0.0237785,1.49851,0.0804205,
13.1199,0.0620018,-0.695685,1.49839,-0.0722126,-0.678961,1.49839,0.0778584,0.040076,1.49851,-0.0696956,0.0237738,1.49851,0.0804218,
