CombinedSpineCont... started logging at time 03012018_174035 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
9.6758,0.0345516,-0.679189,1.49839,-0.077861,-0.694914,1.49839,0.072318,0.0254609,1.4985,-0.079632,0.0396945,1.4985,0.0706957,
9.6859,0.0348633,-0.679189,1.49839,-0.0778639,-0.694915,1.49839,0.072315,0.0254566,1.4985,-0.079635,0.0396956,1.4985,0.0706921,
9.696,0.0351307,-0.67919,1.49839,-0.0778666,-0.694916,1.49839,0.0723123,0.0254518,1.4985,-0.0796381,0.0396968,1.4985,0.0706885,
9.7061,0.035256,-0.67919,1.49839,-0.0778691,-0.694917,1.49839,0.0723097,0.0254468,1.4985,-0.0796412,0.0396979,1.4985,0.0706848,
9.7162,0.0352124,-0.67919,1.49839,-0.0778722,-0.694918,1.49839,0.0723064,0.0254418,1.4985,-0.0796443,0.039699,1.4985,0.0706811,
9.7263,0.0350897,-0.679188,1.49839,-0.0778765,-0.69492,1.49839,0.0723017,0.025437,1.4985,-0.0796473,0.0397001,1.4985,0.0706775,
9.7364,0.0350025,-0.679185,1.49839,-0.0778818,-0.694922,1.49839,0.0722958,0.0254326,1.4985,-0.0796503,0.0397012,1.4985,0.0706741,
9.7465,0.0350506,-0.679182,1.49839,-0.0778869,-0.694925,1.49839,0.0722902,0.0254285,1.4985,-0.0796532,0.0397022,1.4985,0.0706706,
9.7566,0.035285,-0.679181,1.49839,-0.0778904,-0.694926,1.49839,0.0722864,0.0254245,1.4985,-0.0796562,0.0397033,1.4985,0.0706672,
9.7667,0.0355915,-0.679181,1.49839,-0.0778931,-0.694927,1.49839,0.0722837,0.0254202,1.4985,-0.0796592,0.0397043,1.4985,0.0706637,
9.7768,0.0358317,-0.679182,1.49839,-0.0778956,-0.694928,1.49839,0.0722811,0.0254155,1.4985,-0.0796622,0.0397054,1.4985,0.0706601,
9.7869,0.0359198,-0.679182,1.49839,-0.0778981,-0.694929,1.49839,0.0722785,0.0254106,1.4985,-0.0796653,0.0397065,1.4985,0.0706565,
9.797,0.0358538,-0.679181,1.49839,-0.0779014,-0.69493,1.49839,0.0722751,0.0254058,1.4985,-0.0796682,0.0397076,1.4985,0.0706529,
9.8071,0.035735,-0.679179,1.49839,-0.0779059,-0.694932,1.49839,0.0722701,0.0254012,1.4985,-0.0796712,0.0397086,1.4985,0.0706495,
9.8172,0.0356719,-0.679175,1.49839,-0.0779113,-0.694935,1.49839,0.072264,0.0253969,1.4985,-0.0796741,0.0397096,1.4985,0.0706461,
9.8273,0.0357624,-0.679172,1.49839,-0.0779166,-0.694938,1.49839,0.0722581,0.0253929,1.4985,-0.0796769,0.0397106,1.4985,0.0706427,
9.8374,0.036027,-0.67917,1.49839,-0.0779203,-0.694939,1.49839,0.0722541,0.0253889,1.4985,-0.0796799,0.0397117,1.4985,0.0706393,
9.8475,0.0363299,-0.679171,1.49839,-0.0779228,-0.69494,1.49839,0.0722516,0.0253845,1.4985,-0.0796828,0.0397127,1.4985,0.0706359,
9.8576,0.0365437,-0.679171,1.49839,-0.0779252,-0.694941,1.49839,0.0722491,0.0253797,1.4985,-0.0796858,0.0397138,1.4985,0.0706323,
9.8677,0.0365917,-0.679171,1.49839,-0.0779277,-0.694942,1.49839,0.0722466,0.0253746,1.4985,-0.0796888,0.0397148,1.4985,0.0706288,
9.8778,0.0365022,-0.67917,1.49839,-0.0779312,-0.694943,1.49839,0.0722428,0.0253697,1.4985,-0.0796917,0.0397159,1.4985,0.0706253,
9.8879,0.036387,-0.679167,1.49839,-0.0779361,-0.694945,1.49839,0.0722373,0.025365,1.4985,-0.0796946,0.0397169,1.4985,0.0706219,
9.898,0.0363501,-0.679163,1.49839,-0.0779421,-0.694948,1.49839,0.0722306,0.0253607,1.4985,-0.0796974,0.0397179,1.4985,0.0706185,
9.9081,0.036485,-0.679159,1.49839,-0.0779482,-0.694952,1.49839,0.0722237,0.0253567,1.4985,-0.0797002,0.0397188,1.4985,0.0706152,
9.9182,0.0367726,-0.679156,1.49839,-0.0779529,-0.694954,1.49839,0.0722184,0.0253525,1.4985,-0.0797031,0.0397198,1.4985,0.0706118,
9.9283,0.0370657,-0.679155,1.49839,-0.0779557,-0.694955,1.49839,0.0722155,0.0253478,1.4985,-0.079706,0.0397209,1.4985,0.0706084,
9.9384,0.0372527,-0.679156,1.49839,-0.0779579,-0.694956,1.49839,0.0722132,0.0253427,1.4985,-0.079709,0.0397219,1.4985,0.0706049,
9.9485,0.0372693,-0.679156,1.49839,-0.0779604,-0.694957,1.49839,0.0722106,0.0253374,1.4985,-0.0797119,0.039723,1.4985,0.0706013,
9.9586,0.0371685,-0.679154,1.49839,-0.0779638,-0.694958,1.49839,0.072207,0.0253322,1.4985,-0.0797148,0.039724,1.4985,0.0705978,
9.9687,0.0370627,-0.679152,1.49839,-0.0779682,-0.69496,1.49839,0.0722021,0.0253274,1.4985,-0.0797176,0.039725,1.4985,0.0705945,
9.9788,0.0370476,-0.679149,1.49839,-0.077973,-0.694962,1.49839,0.0721968,0.025323,1.4985,-0.0797204,0.0397259,1.4985,0.0705912,
9.9889,0.0372,-0.679148,1.49839,-0.0779765,-0.694963,1.49839,0.0721929,0.0253189,1.4985,-0.0797231,0.0397269,1.4985,0.0705879,
9.999,0.0374819,-0.679148,1.49839,-0.077979,-0.694964,1.49839,0.0721904,0.0253147,1.4985,-0.079726,0.0397278,1.4985,0.0705846,
10.0091,0.037754,-0.679149,1.49839,-0.0779814,-0.694965,1.49839,0.072188,0.0253103,1.4985,-0.0797288,0.0397288,1.4985,0.0705812,
10.0192,0.0379131,-0.679149,1.49839,-0.0779836,-0.694966,1.49839,0.0721857,0.0253056,1.4985,-0.0797316,0.0397298,1.4985,0.0705779,
10.0293,0.0379149,-0.679149,1.49839,-0.077986,-0.694967,1.49839,0.0721833,0.0253007,1.4985,-0.0797345,0.0397308,1.4985,0.0705745,
10.0394,0.0378221,-0.679148,1.49839,-0.0779893,-0.694968,1.49839,0.0721797,0.0252961,1.4985,-0.0797372,0.0397317,1.4985,0.0705712,
10.0495,0.037737,-0.679146,1.49839,-0.0779934,-0.69497,1.49839,0.0721752,0.0252918,1.4985,-0.07974,0.0397326,1.4985,0.0705679,
10.0596,0.0377503,-0.679144,1.49839,-0.0779975,-0.694971,1.49839,0.0721707,0.0252878,1.4985,-0.0797427,0.0397335,1.4985,0.0705648,
10.0697,0.0379287,-0.679143,1.49839,-0.0780004,-0.694972,1.49839,0.0721676,0.025284,1.4985,-0.0797454,0.0397344,1.4985,0.0705616,
10.0798,0.0382144,-0.679144,1.49839,-0.0780028,-0.694973,1.49839,0.0721652,0.02528,1.4985,-0.0797481,0.0397354,1.4985,0.0705584,
10.0899,0.0384723,-0.679144,1.49839,-0.078005,-0.694974,1.49839,0.0721629,0.0252757,1.4985,-0.0797509,0.0397363,1.4985,0.0705551,
10.1,0.0386044,-0.679144,1.49839,-0.0780071,-0.694975,1.49839,0.0721608,0.025271,1.4985,-0.0797536,0.0397373,1.4985,0.0705518,
10.1101,0.0385803,-0.679144,1.49839,-0.0780097,-0.694976,1.49839,0.072158,0.0252662,1.4985,-0.0797564,0.0397382,1.4985,0.0705485,
10.1202,0.0384786,-0.679142,1.49839,-0.0780137,-0.694977,1.49839,0.0721537,0.0252616,1.4985,-0.0797591,0.0397391,1.4985,0.0705453,
10.1303,0.0384028,-0.679137,1.49839,-0.0780194,-0.69498,1.49839,0.0721472,0.0252574,1.4985,-0.0797618,0.03974,1.4985,0.0705421,
10.1404,0.0384493,-0.679132,1.49839,-0.0780277,-0.694986,1.49839,0.0721377,0.0252533,1.4985,-0.0797644,0.0397409,1.4985,0.070539,
10.1505,0.038676,-0.67913,1.49839,-0.0780359,-0.69501,1.49839,0.0721268,0.0252493,1.4985,-0.0797671,0.0397418,1.4985,0.0705358,
10.1606,0.0389771,-0.679126,1.49839,-0.0780408,-0.695041,1.49839,0.0721183,0.0252446,1.4985,-0.0797699,0.0397427,1.4985,0.0705325,
10.1707,0.0392444,-0.679123,1.49839,-0.0780453,-0.695071,1.49839,0.07211,0.0252386,1.4985,-0.0797729,0.0397438,1.4985,0.0705288,
