CombinedSpineCont... started logging at time 09072018_155508 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
25.8358,0.437137,-0.619829,1.50001,-0.0689024,-0.651988,1.50001,0.0786335,-0.01685,1.50001,-0.0666362,0.00780066,1.50001,0.0823381,
25.8459,0.437633,-0.619825,1.50001,-0.0689077,-0.651999,1.50001,0.0786247,-0.0168407,1.50001,-0.0666269,0.00781018,1.50001,0.0823474,
25.856,0.438122,-0.619821,1.50001,-0.068913,-0.652011,1.50001,0.0786161,-0.0168317,1.50001,-0.0666177,0.00781944,1.50001,0.0823565,
25.8661,0.438601,-0.619817,1.50001,-0.0689183,-0.652021,1.50001,0.0786078,-0.0168228,1.50001,-0.0666086,0.00782846,1.50001,0.0823656,
25.8762,0.439072,-0.619813,1.50001,-0.0689234,-0.65203,1.50001,0.0785998,-0.0168143,1.50001,-0.0665996,0.00783722,1.50001,0.0823746,
25.8863,0.439534,-0.619809,1.50001,-0.0689283,-0.652038,1.50001,0.0785923,-0.016806,1.50001,-0.0665907,0.00784565,1.50001,0.0823835,
25.8964,0.439989,-0.619805,1.50001,-0.0689327,-0.652045,1.50001,0.0785853,-0.0167981,1.50001,-0.066582,0.00785368,1.50001,0.0823921,
25.9065,0.440438,-0.619799,1.50001,-0.0689366,-0.65205,1.50001,0.0785791,-0.0167907,1.50001,-0.0665735,0.00786124,1.50001,0.0824006,
25.9166,0.440882,-0.619794,1.50001,-0.0689399,-0.652055,1.50001,0.0785735,-0.0167838,1.50001,-0.0665652,0.00786825,1.50001,0.0824088,
25.9267,0.441322,-0.619788,1.50001,-0.0689425,-0.652059,1.50001,0.0785688,-0.0167774,1.50001,-0.0665573,0.00787469,1.50001,0.0824167,
25.9368,0.441759,-0.619781,1.50001,-0.0689445,-0.652062,1.50001,0.0785648,-0.0167717,1.50001,-0.0665498,0.00788054,1.50001,0.0824243,
25.9469,0.442195,-0.619774,1.50001,-0.0689457,-0.652064,1.50001,0.0785616,-0.0167665,1.50001,-0.0665426,0.00788581,1.50001,0.0824314,
25.957,0.442628,-0.619767,1.50001,-0.0689463,-0.652066,1.50001,0.078559,-0.0167618,1.50001,-0.0665358,0.00789054,1.50001,0.0824382,
25.9671,0.443061,-0.61976,1.50001,-0.0689462,-0.652067,1.50001,0.0785572,-0.0167576,1.50001,-0.0665295,0.00789478,1.50001,0.0824445,
25.9772,0.443493,-0.619752,1.50001,-0.0689456,-0.652067,1.50001,0.0785559,-0.0167539,1.50001,-0.0665235,0.00789858,1.50001,0.0824505,
25.9873,0.443926,-0.619744,1.50001,-0.0689446,-0.652068,1.50001,0.0785551,-0.0167505,1.50001,-0.066518,0.00790201,1.50001,0.082456,
25.9974,0.44436,-0.619736,1.50001,-0.0689432,-0.652068,1.50001,0.0785547,-0.0167474,1.50001,-0.0665127,0.00790512,1.50001,0.0824613,
26.0075,0.444796,-0.619728,1.50001,-0.0689415,-0.652068,1.50001,0.0785546,-0.0167446,1.50001,-0.0665077,0.00790798,1.50001,0.0824663,
26.0176,0.445233,-0.619719,1.50001,-0.0689397,-0.652068,1.50001,0.0785546,-0.016742,1.50001,-0.066503,0.00791064,1.50001,0.082471,
26.0277,0.445672,-0.619711,1.50001,-0.0689378,-0.652068,1.50001,0.0785547,-0.0167395,1.50001,-0.0664984,0.00791317,1.50001,0.0824756,
26.0378,0.446113,-0.619703,1.50001,-0.0689359,-0.652068,1.50001,0.0785548,-0.0167371,1.50001,-0.0664939,0.00791561,1.50001,0.08248,
26.0479,0.446558,-0.619695,1.50001,-0.0689342,-0.652068,1.50001,0.0785547,-0.0167347,1.50001,-0.0664895,0.00791803,1.50001,0.0824845,
26.058,0.447004,-0.619687,1.50001,-0.0689326,-0.652068,1.50001,0.0785544,-0.0167323,1.50001,-0.0664851,0.00792045,1.50001,0.0824889,
26.0681,0.447454,-0.619679,1.50001,-0.0689312,-0.652068,1.50001,0.0785541,-0.0167298,1.50001,-0.0664805,0.00792295,1.50001,0.0824934,
