CombinedSpineCont... started logging at time 09072018_171507 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-0.645943,1.54865,-0.0754999,-0.645943,1.54865,0.0755001,-0.00192683,1.54863,-0.0754999,-0.00192708,1.54863,0.0755001,
0.0202,0,-0.641358,1.54492,-0.0754985,-0.641355,1.54492,0.0755015,-0.0064755,1.54486,-0.0754985,-0.00647805,1.54486,0.0755015,
0.0303,0,-0.63559,1.53924,-0.0754945,-0.635581,1.53924,0.0755055,-0.0124141,1.5391,-0.0754942,-0.0124228,1.5391,0.0755058,
0.0404,0,-0.629298,1.53199,-0.0754872,-0.629279,1.53199,0.0755128,-0.0190112,1.53173,-0.0754861,-0.0190305,1.53173,0.0755139,
0.0505,0,-0.622818,1.52346,-0.0754773,-0.622785,1.52346,0.0755227,-0.0258509,1.52307,-0.0754743,-0.0258842,1.52307,0.0755257,
0.0606,0,-0.616339,1.51392,-0.0754666,-0.616292,1.51392,0.0755334,-0.032688,1.51341,-0.0754606,-0.032736,1.51341,0.0755394,
0.0707,0,-0.610003,1.50358,-0.0754573,-0.609945,1.50358,0.0755427,-0.0393469,1.50296,-0.0754479,-0.0394071,1.50297,0.0755521,
0.0808,0,-0.609,1.50036,-0.0754633,-0.608936,1.50034,0.0755367,-0.0402026,1.50036,-0.0755286,-0.040285,1.50029,0.0754713,
0.0909,0,-0.610983,1.5002,-0.0754752,-0.610898,1.5002,0.0755248,-0.0385015,1.50021,-0.075448,-0.0386603,1.50021,0.0755519,
0.101,0,-0.613175,1.50017,-0.0755039,-0.613085,1.50017,0.0754961,-0.036335,1.50019,-0.0754749,-0.0365007,1.50019,0.075525,
0.1111,0,-0.615502,1.50015,-0.0755223,-0.615407,1.50015,0.0754777,-0.0337392,1.50016,-0.0754928,-0.0339107,1.50016,0.0755071,
0.1212,0,-0.617765,1.50013,-0.0755333,-0.617658,1.50013,0.0754667,-0.0309762,1.50013,-0.0755045,-0.0311578,1.50013,0.0754954,
0.1313,0,-0.619843,1.50011,-0.0755388,-0.619719,1.50011,0.0754612,-0.0282954,1.50011,-0.0755117,-0.0284918,1.50011,0.0754882,
0.1414,0,-0.621682,1.50009,-0.0755405,-0.621535,1.50009,0.0754595,-0.0258815,1.50009,-0.0755157,-0.0260966,1.50009,0.0754842,
0.1515,0,-0.62327,1.50008,-0.0755397,-0.623096,1.50008,0.0754602,-0.0238367,1.50007,-0.0755174,-0.0240738,1.50007,0.0754824,
0.1616,0,-0.624618,1.50007,-0.0755377,-0.624414,1.50007,0.0754622,-0.0221909,1.50006,-0.0755174,-0.0224525,1.50006,0.0754823,
0.1717,0,-0.625746,1.50006,-0.0755352,-0.62551,1.50006,0.0754646,-0.0209236,1.50005,-0.0755165,-0.021212,1.50005,0.0754832,
0.1818,0,-0.626672,1.50006,-0.0755327,-0.626401,1.50006,0.0754671,-0.0199887,1.50005,-0.0755152,-0.0203058,1.50005,0.0754845,
0.1919,0,-0.627411,1.50005,-0.0755304,-0.627105,1.50005,0.0754692,-0.0193332,1.50004,-0.0755139,-0.0196809,1.50004,0.0754857,
0.202,0,-0.627977,1.50005,-0.0755287,-0.627634,1.50005,0.0754709,-0.0189096,1.50004,-0.0755131,-0.0192891,1.50004,0.0754864,
