CombinedSpineCont... started logging at time 09072018_171842 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
8.383,0.0213079,-0.620479,1.50001,-0.0727956,-0.643083,1.50001,0.076503,-0.0248934,1.5,-0.0712771,-0.00457674,1.5,0.0783499,
8.3931,0.021375,-0.620481,1.50001,-0.07279,-0.643096,1.50001,0.0765067,-0.0248892,1.5,-0.071268,-0.00456571,1.5,0.078358,
8.4032,0.0214424,-0.620482,1.50001,-0.0727838,-0.643109,1.50001,0.0765113,-0.0248849,1.5,-0.0712589,-0.00455476,1.5,0.0783662,
8.4133,0.02151,-0.620484,1.50001,-0.0727769,-0.643122,1.50001,0.0765166,-0.0248807,1.5,-0.0712498,-0.00454377,1.5,0.0783744,
8.4234,0.0215777,-0.620486,1.50001,-0.07277,-0.643135,1.50001,0.0765218,-0.0248764,1.5,-0.0712407,-0.0045327,1.5,0.0783826,
8.4335,0.0216454,-0.620488,1.50001,-0.0727631,-0.643147,1.50001,0.0765271,-0.0248721,1.5,-0.0712317,-0.00452161,1.5,0.0783907,
8.4436,0.0217131,-0.62049,1.50001,-0.0727562,-0.64316,1.50001,0.0765323,-0.0248679,1.5,-0.0712225,-0.00451062,1.5,0.0783989,
8.4537,0.0217809,-0.620493,1.50001,-0.0727494,-0.643173,1.50001,0.0765376,-0.0248636,1.5,-0.0712134,-0.00449959,1.5,0.0784071,
8.4638,0.0218488,-0.620495,1.50001,-0.0727424,-0.643186,1.50001,0.0765429,-0.0248594,1.5,-0.0712043,-0.00448848,1.5,0.0784153,
8.4739,0.0219167,-0.620497,1.50001,-0.0727355,-0.643198,1.50001,0.0765482,-0.0248551,1.5,-0.0711953,-0.00447735,1.5,0.0784234,
8.484,0.0219847,-0.620499,1.50001,-0.0727286,-0.643211,1.50001,0.0765534,-0.0248509,1.5,-0.0711862,-0.00446632,1.5,0.0784316,
8.4941,0.0220529,-0.620501,1.50001,-0.0727217,-0.643224,1.50001,0.0765588,-0.0248466,1.5,-0.071177,-0.00445525,1.5,0.0784398,
8.5042,0.0221212,-0.620503,1.50001,-0.0727148,-0.643237,1.50001,0.076564,-0.0248423,1.5,-0.0711679,-0.0044441,1.5,0.078448,
8.5143,0.0221897,-0.620505,1.50001,-0.0727079,-0.64325,1.50001,0.0765693,-0.0248381,1.5,-0.0711589,-0.00443294,1.5,0.0784561,
